0	26
0	31
0	27
0	30
0	18
0	42
0	43
0	21
0	53
0	49
0	47
0	10
0	22
0	29
0	24
0	40
0	37
0	48
1	24
1	2
1	37
2	1
3	51
3	12
3	39
3	38
3	35
3	49
3	7
3	10
3	15
4	23
4	19
4	8
4	30
4	5
4	7
4	45
4	50
4	32
4	10
4	3
4	2
4	37
5	26
5	33
5	8
5	42
5	38
5	35
5	49
5	47
5	36
5	10
5	40
5	3
5	37
5	48
7	23
7	18
7	4
7	50
7	25
7	16
7	28
7	29
7	3
7	37
8	1
8	51
8	13
8	5
8	4
8	35
8	10
8	22
8	3
9	51
9	31
9	33
9	30
9	18
9	4
9	21
9	35
9	49
9	45
9	32
9	46
9	10
9	22
9	40
9	37
9	48
10	20
10	27
10	30
10	39
10	18
10	5
10	9
10	21
10	29
10	24
10	48
12	23
12	19
12	31
12	27
12	4
12	21
12	38
12	14
12	45
12	50
12	25
12	16
12	17
12	29
12	41
12	3
12	15
13	27
13	42
13	25
13	24
14	34
14	26
14	0
14	31
14	12
14	30
14	43
14	38
14	7
14	45
14	32
14	46
14	28
14	17
14	24
14	41
14	3
14	37
15	23
15	12
15	4
15	38
15	49
15	3
15	37
16	23
16	19
16	12
16	7
16	50
16	25
16	28
16	37
17	26
17	14
17	7
17	45
17	28
17	24
17	41
17	37
18	0
18	51
18	31
18	30
18	9
18	21
18	7
18	32
18	47
18	10
18	24
18	40
18	48
19	23
19	12
19	4
19	38
19	35
19	50
19	25
19	16
19	22
19	29
19	24
20	26
20	51
20	27
20	12
20	42
20	43
20	53
20	32
20	10
21	0
21	51
21	31
21	27
21	12
21	30
21	18
21	9
21	53
21	32
21	47
21	10
21	40
21	48
22	19
22	51
22	8
22	39
22	38
22	32
22	25
22	29
22	24
23	27
23	12
23	38
23	50
23	25
23	36
23	16
23	40
24	26
24	19
24	0
24	51
24	31
24	27
24	12
24	18
24	5
24	42
24	53
24	14
24	7
24	45
24	32
24	47
24	25
24	10
24	17
24	22
24	29
24	41
25	23
25	19
25	12
25	9
25	38
25	50
25	22
25	29
25	24
26	0
26	31
26	20
26	27
26	5
26	42
26	43
26	14
26	49
26	46
26	47
26	10
26	17
26	29
26	40
26	37
26	48
27	26
27	23
27	0
27	51
27	31
27	20
27	12
27	21
27	38
27	14
27	49
27	50
27	10
27	40
27	15
27	37
28	14
28	7
28	46
28	16
28	17
28	41
28	3
28	37
29	26
29	19
29	27
29	12
29	5
29	53
29	7
29	45
29	25
29	10
29	22
29	24
29	41
30	0
30	51
30	31
30	18
30	9
30	21
30	32
30	47
30	10
31	34
31	26
31	0
31	27
31	12
31	30
31	18
31	9
31	43
31	21
31	49
31	47
31	10
31	22
31	29
31	24
31	40
31	37
32	51
32	20
32	27
32	30
32	18
32	42
32	21
32	53
32	10
32	22
32	24
33	5
33	9
33	35
33	32
33	46
33	48
34	26
34	0
34	31
34	20
34	27
34	43
34	38
34	14
34	35
34	47
34	10
34	17
35	34
35	19
35	0
35	33
35	8
35	5
35	4
35	9
35	38
35	49
35	45
35	32
35	46
35	25
35	40
35	3
35	48
36	23
36	27
36	5
36	9
36	49
36	45
36	40
36	48
37	26
37	0
37	31
37	27
37	5
37	42
37	4
37	9
37	53
37	38
37	14
37	7
37	46
37	47
37	16
37	28
37	10
37	17
37	41
37	3
37	15
37	48
38	34
38	23
38	19
38	51
38	27
38	12
38	39
38	5
38	4
38	53
38	14
38	50
38	47
38	25
38	17
38	22
38	41
38	15
38	37
39	1
39	5
39	38
39	10
39	22
39	3
40	23
40	0
40	31
40	27
40	12
40	18
40	5
40	42
40	9
40	21
40	35
40	49
40	45
40	32
40	36
40	10
40	48
41	12
41	43
41	38
41	14
41	45
41	46
41	28
41	17
41	29
41	44
41	37
42	27
43	26
43	0
43	31
43	20
43	27
43	5
43	42
43	9
43	21
43	14
43	47
43	41
44	33
44	20
44	27
44	12
44	9
44	38
44	35
44	45
44	36
44	17
44	41
44	40
44	48
45	12
45	9
45	38
45	35
45	49
45	32
45	36
45	17
45	44
45	41
45	40
45	48
46	26
46	33
46	5
46	9
46	43
46	14
46	35
46	7
46	45
46	28
46	17
46	41
46	3
46	37
46	48
47	34
47	26
47	0
47	31
47	27
47	30
47	18
47	5
47	43
47	21
47	38
47	10
47	24
47	37
47	48
48	26
48	0
48	33
48	5
48	42
48	9
48	35
48	46
48	47
48	10
48	37
49	26
49	23
49	0
49	31
49	13
49	27
49	5
49	42
49	9
49	14
49	35
49	45
49	32
49	36
49	10
49	40
49	3
49	15
50	23
50	20
50	4
50	7
50	25
50	16
51	20
51	27
51	30
51	18
51	42
51	32
51	10
51	22
51	24
53	0
53	51
53	20
53	27
53	30
53	32
53	10
53	24
53	37
53	49
